Label,QualifiedApiName
Exempt from Netsuite Automation,Exempt_from_Netsuite_Automation__c
Live P&C Assets,Live_P_C_Assets__c
Live P&C Properties,Live_P_C_Facilities__c
Live TI Assets,Live_TI_Assets__c
Live TI Properties,Live_TI_Facilities__c
P&C Policy Expiration Date,P_C_Policy_Expiration_Date__c
Epic Location Code,Epic_Location_Code__c
Epic Lookup Code,Epic_Lookup_Code__c
Next Run Date,Next_Run_Date__c
Trigger Flow,Trigger_Flow__c
CP Company ID,CP_Company_ID__c
CP Location ID,CP_Location_ID__c
Hierarchy has NonPayment Cancelled Asset,Hierarchy_has_NonPayment_Cancelled_Asset__c
Hierarchy has Suspended Asset,Hierarchy_has_Suspended_Asset__c
Training Account,Training_Account__c
Live CP Assets,Live_CP_Assets__c
Live CP Properties,Live_CP_Facilities__c
Status Reason,Status_Reason__c
Status,Status__c
API Partner Type,API_Partner_Type__c
API Servicing Account,API_Servicing_Account__c
FMS API Key Access,FMS_API_Key_Access__c
Monthly Call Limit,Monthly_Call_Limit__c
Approved API Key Application(s),Approved_API_Key_Applications__c
API Contract Revenue,API_Contract_Revenue__c
API Billing Frequency,API_Billing_Frequency__c
API Contract Effective Date,API_Contract_Effective_Date__c
API Contract Renewal Date,API_Contract_Renewal_Date__c
API Contract Renewal Notes,API_Contract_Renewal_Notes__c
SF Partner Type,SF_Partner_Type__c
SF Partner Website,SF_Partner_Website__c
SF Flat Rate Commission Amount,SF_Flat_Rate_Commission_Amount__c
SF Commission Percentage,SF_Commission_Percentage__c
SF Tenant Discount Amount,SF_Tenant_Discount_Amount__c
PITA SF Partner Link,PITA_SF_Partner_Link__c
API Partner Contract,API_Partner_Contract__c
dL Total Avg Rev Per Month,dL_total_avg_rev_per_month__c
CP A2P Complete?,CP_A2P_Complete__c
CP A2P In Progress?,CP_A2P_In_Progress__c
CP Twilio ID,CP_Twilio_ID__c
Corp CP A2P Complete?,Corp_CP_A2P_Complete__c
Corp CP A2P In Progress?,Corp_CP_A2P_In_Progress__c
Contract,Contract__c
Has Custom Pricing,Has_Custom_Pricing__c
Account-Account Relationship,Account_Account_Relationship__c
Marketing Campaign Target,Push_to_CSP__c
SLWE IP,SLWE_IP__c
FMS Asset,FMS_Asset__c
ESS Live,ESS_Live__c
ESS In Progress,ESS_In_Progress__c
SLWE International Live,SLWE_International_Live__c
SLWE International IP,SLWE_International_IP__c
SLWE Portable Live,SLWE_Portable_Live__c
SLWE Portable IP,SLWE_Portable_IP__c
SE FMS Live,SE_FMS_Live__c
SEFMS In Progress,SEFMS_In_Progress__c
TI Product,TI_Product__c
AIG (Storsmart),AIG_Storsmart__c
SiteLink Tenant Protection Program,SiteLink_Tenant_Protection_Program__c
storEDGE Tenant Protection Program,storEDGE_Tenant_Protection_Program__c
Autogrow,Autogrow__c
PMA (Bader),PMA_Bader__c
Sitelink FMS In Progress,Sitelink_FMS_In_Progress__c
VitallyParentAccountTrigger,VitallyParentAccountTrigger__c
Vitally Health Asks,Vitally_Health_Asks__c
Vitally Health Evaluation,Vitally_Health_Evaluation__c
Vitally Health Override,Vitally_Health_Override__c
Vitally Risk Driver Details,Vitally_Risk_Driver_Details__c
Vitally Risk Drivers,Vitally_Risk_Drivers__c
Has Entitlement?,Has_Entitlement__c
# of Active Entitlements,of_Active_Entitlements__c
# of Inactive Entitlements,of_Inactive_Entitlements__c
LLC / Legal Entity,LLC_Legal_Entity__c
Account Flow VR Bypass,Account_Flow_VR_Bypass__c
Client Success Segment,VitallyClient_Success_Tier__c
Annual Boat Club Revenue,Annual_Boat_Club_Revenue__c
Annual Boat Sales Revenue,Annual_Boat_Sales_Revenue__c
Annual Marine Rentals Revenue,Annual_Marine_Rentals_Revenue__c
Annual Marine Service Revenue,Annual_Marine_Service_Revenue__c
Annual Marine Storage Revenue,Annual_Marine_Storage_Revenue__c
Company Domain Name,Company_Domain_Name__c
DockWa URL,DockWa_URL__c
Enterprise Action Items,Enterprise_Action_Items__c
Enterprise Notes,Enterprise_Notes__c
dL Cross-sell Opp Monthly CRM Rev,dL_CrossSell_Opp_CRM__c
dL Cross-sell Opp Mo Collections Rev,dL_CrossSell_Opp_Collections__c
Google Review,Google_Review__c
IMS Frontend Login,IMS_Frontend_Login__c
IMS Login,IMS_Login__c
Integrated GPS?,Integrated_GPS__c
Interested in QBO Integration,Interested_in_QBO_Integration__c
Interested in Renter's Insurance?,Interested_in_Renter_s_Insurance__c
Lead Score,Lead_Score__c
MMS Qualification,MMS_Qualification__c
Marina URL,Marina_URL__c
Marine Demo Date,Marine_Demo_Date__c
Marine HubSpot ID,Marine_HubSpot_ID__c
Marine Zoho ID,Marine_Zoho_ID__c
Molo Company ID,Molo_ID__c
Molo Online Booking,Molo_Online_Booking__c
Molo Other Integrations,Molo_Other_Integrations__c
Molo Property ID,Molo_Site_ID__c
Next Action Date,Next_Action_Date__c
# Powered Boats : Rental,Num_Boats__c
# House Boats : Rental,Num_Houseboats__c
# PWC / Jet Ski : Rental,Num_Jet_Skis__c
